,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
552,Hotel Vertu,"Mahipalpur, New Delhi",7.9,Good,135 reviews,13.9 km from centre,Metro access,"Situated in New Delhi, 7 km from Qutub Minar, Vertu - A Boutique Hotel features accommodation with a restaurant, free private parking, a shared lounge and a terrace."
553,Hotel Olive Zone Near Delhi Airport,"South West, New Delhi",8.9,Fabulous,64 reviews,14.8 km from centre,No Metro Access,"Situated in New Delhi, 9 km from Qutub Minar, Hotel Olive Zone Near IGI Airport features accommodation with a restaurant, free private parking and a shared lounge."
554,Hotel Asian Blue Near IGI Airport,"South West, New Delhi",4.9,Review score,31 reviews,14.8 km from centre,No Metro Access,"Situated in New Delhi, 9 km from Qutub Minar, Hotel Asian Blue Near IGI Airport features accommodation with a bar, free private parking, a shared lounge and a garden."
555,Hotel Sopan Heights,"Karol bagh, New Delhi",9.0,Superb,65 reviews,3.4 km from centre,Metro access,"Situated in New Delhi, within 4.2 km of Gurudwara Bangla Sahib and 5 km of Rashtrapati Bhavan, Hotel Sopan Heights provides accommodation with a terrace and as well as free private parking for guests..."
556,Hotel cozy cave,"South Delhi, New Delhi",8.3,Very good,15 reviews,14.4 km from centre,No Metro Access,"Situated in New Delhi, 5 km from Qutub Minar, Hotel cozy cave features views of the pool. This 4-star hotel offers an ATM and dry cleaning services."
557,Hotel D'Capitol - Delhi Airport,"South West, New Delhi",8.9,Fabulous,211 reviews,14.8 km from centre,No Metro Access,"Located in New Delhi, 9 km from Qutub Minar, Hotel D'Capitol - Delhi Airport provides accommodation with a bar, free private parking, a garden and a terrace."
558,Hotel Opera Zone Near IGI Airport,"South West, New Delhi",8.4,Very good,106 reviews,14.8 km from centre,No Metro Access,"Situated in New Delhi, within 9 km of Qutub Minar and 12 km of Gandhi Smriti, Hotel Opera Zone Near IGI Airport features accommodation with a shared lounge and as well as free private parking for..."
559,SilverKey Executive Stays 77210 near A One Hospital,"Pashim Vihar, New Delhi",,Show prices,Opens in new window,13 km from centre,No Metro Access,SilverKey Executive Stays 77210 near A One Hospital features air-conditioned rooms with cable TV in the Pashim Vihar district of New Delhi.
560,Hotel sun plaza,"South West, New Delhi",7.5,Good,24 reviews,14.8 km from centre,No Metro Access,"Set in New Delhi, Hotel sun plaza provides 4-star accommodation with private balconies. This 4-star hotel offers an ATM and a tour desk."
561,Treebo Trend Vivaan New Delhi,"Safdarjung Enclave, New Delhi",7.5,Good,10 reviews,8.2 km from centre,Metro access,"Offering air-conditioned rooms in the Safdarjung Enclave district of New Delhi, Treebo Trend Vivaan New Delhi is 4 km from Lodhi Gardens."
562,Treebo Trend DR Regency,"Safdarjung Enclave, New Delhi",5.2,Review score,34 reviews,8.5 km from centre,No Metro Access,Treebo Trend DR Regency features air-conditioned rooms with satellite TV in the Safdarjung Enclave district of New Delhi.
563,Hotel Grand Regency New Delhi Airport,New Delhi,7.9,Good,49 reviews,15.1 km from centre,No Metro Access,"Located in New Delhi, within 7 km of Qutub Minar and 11 km of Gandhi Smriti, Hotel Grand Regency New Delhi Airport provides accommodation with a terrace and as well as free private parking for guests..."
564,Hotel Marina Near IGI Airport Delhi,"South West, New Delhi",6.3,Review score,32 reviews,14.8 km from centre,No Metro Access,"Located in New Delhi, within 9 km of Qutub Minar and 11 km of Gandhi Smriti, Hotel Marina Near IGI Airport Delhi provides accommodation with a garden and free WiFi as well as free private parking for..."
565,Hotel Ark Suites At Airport,"Mahipalpur, New Delhi",8.6,Fabulous,25 reviews,13.7 km from centre,No Metro Access,"Set in New Delhi, 6 km from Qutub Minar, Hotel Ark Suites At Airport offers accommodation with a restaurant, free private parking, a shared lounge and a terrace."
566,Airport Smart Stay,"South West, New Delhi",9.5,Exceptional,38 reviews,13.4 km from centre,Metro access,"Hotel Aero at Delhi Airport is situated in New Delhi, within 7 km of Qutub Minar and 10 km of Gandhi Smriti."
567,FabHotel Arihant Inn,"Karol bagh, New Delhi",7.7,Good,4 reviews,4 km from centre,No Metro Access,"Boasting a shared lounge, FabHotel Arihant Inn is set in New Delhi in the Delhi NCR region, 5 km from Gurudwara Bangla Sahib and 5 km from Rashtrapati Bhavan."
568,Vaccinated Staff- OYO Townhouse 086 Pankha Road,"Janakpuri, New Delhi",7.2,Good,21 reviews,14.8 km from centre,No Metro Access,OYO Townhouse 086 Pankha Road- Hygiene Ensured features air-conditioned rooms with cable TV in the Janakpuri district of New Delhi.
569,Hotel A L - Delhi Airport,"Mahipalpur, New Delhi",9.6,Exceptional,39 reviews,13.4 km from centre,No Metro Access,"Set in New Delhi, 6 km from Qutub Minar, Hotel A L - Delhi Airport offers air-conditioned accommodation and a shared lounge."
570,Hotel Private Affair (A Boutique Hotel),"Greater Kailash 1, New Delhi",,Show prices,Opens in new window,9.7 km from centre,No Metro Access,"Set in New Delhi, within 2.1 km of Lotus Temple and 5 km of Humayun's Tomb, Hotel Private Affair (A Boutique Hotel) offers accommodation with a shared lounge and as well as free private parking for..."
571,FabHotel Le Heritage Karol Bagh,"Karol bagh, New Delhi",7.4,Good,20 reviews,4.1 km from centre,Metro access,"This friendly hotel is conveniently situated in the heart of Delhi in close proximity to Cannaught Place and the city’s largest shopping centre, Karol Bagh."
572,Hotel Mannat international by Mannat,"Paharganj, New Delhi",9.3,Superb,434 reviews,1.7 km from centre,No Metro Access,"Situated in New Delhi, 2 km from Jama Masjid, Hotel Mannat international by Mannat features accommodation with a restaurant, free private parking, a bar and a shared lounge."
573,Vaccinated Staff - OYO 66574 Mandakini Villa,"South Delhi, New Delhi",8.9,Fabulous,7 reviews,8.6 km from centre,Metro access,"Boasting a shared lounge and a terrace, OYO 66574 Mandakini Villa is situated in New Delhi, 5 km from Lodhi Gardens and 6 km from Qutub Minar."
574,Vaccinated Staff- OYO Townhouse 117 Punjabi Bagh,"West Delhi, New Delhi",6.3,Review score,29 reviews,10.1 km from centre,Metro access,"Ideally located in the West Delhi district of New Delhi, OYO Townhouse 117 Punjabi Bagh- Hygiene Ensured is set 14 km from Gurudwara Bangla Sahib, 15 km from Rashtrapati Bhavan and 15 km from Red..."
575,925 Hotels 001 Chattarpur Extension,"Chattarpur, New Delhi",5.4,Review score,7 reviews,15.7 km from centre,No Metro Access,925 Hotels 001 Chattarpur Extension features air-conditioned rooms with satellite flat-screen TV in the Chattarpur district of New Delhi.
576,FabHotel Perfect,"Karol bagh, New Delhi",9.0,Superb,12 reviews,3.6 km from centre,Metro access,"Situated in New Delhi, within 2.9 km of Gurudwara Bangla Sahib and 3.5 km of Jantar Mantar, FabHotel Perfect features accommodation with a restaurant and as well as free private parking for guests who..."
577,Vaccinated Staff- Collection O 42944 Garg Trade Centre Sector 11,"Rohini, New Delhi",7.3,Good,8 reviews,15.3 km from centre,No Metro Access,"Well set in the Rohini district of New Delhi, Vaccinated Staff- Collection O 42944 Garg Trade Centre Sector 11 is located 17 km from Jama Masjid, 18 km from Gurudwara Bangla Sahib and 19 km from Rāj..."
578,Vaccinated Staff- OYO Silver Key 77709 Stay Heaven,"Chattarpur, New Delhi",,Show prices,Opens in new window,15.1 km from centre,No Metro Access,Vaccinated Staff- OYO Silver Key 77709 Stay Heaven features air-conditioned rooms with cable TV in the Chattarpur district of New Delhi. This 3-star hotel offers room service.
579,Hotel Emporio,"Paharganj, New Delhi",7.2,Good,10 reviews,1.3 km from centre,No Metro Access,"Situated conveniently in the Paharganj district of New Delhi, Hotel Emporio is set 2.8 km from Jama Masjid, 3 km from Jantar Mantar and 3.8 km from Gurudwara Bangla Sahib."
580,FabHotel Arihant Inn,"Karol bagh, New Delhi",7.7,Good,4 reviews,4 km from centre,No Metro Access,"Boasting a shared lounge, FabHotel Arihant Inn is set in New Delhi in the Delhi NCR region, 5 km from Gurudwara Bangla Sahib and 5 km from Rashtrapati Bhavan."
581,OYO 70899 Green Heavens,"Chattarpur, New Delhi",,Show prices,Opens in new window,14.9 km from centre,No Metro Access,OYO 70899 Green Heavens features air-conditioned rooms with cable TV in the Chattarpur district of New Delhi. This 3-star hotel offers a 24-hour front desk and a shared kitchen.
582,OYO 463 Hotel Metro View Inn,New Delhi,7.0,Good,9 reviews,4.8 km from centre,Metro access,Metro View Inn is located in Delhi and operates a 24-hour front desk. Free Wi-Fi access is available throughout the property.
583,FabExpress P suites,"Mahipalpur, New Delhi",8.2,Very good,11 reviews,13.4 km from centre,No Metro Access,"Offering air-conditioned rooms in the Mahipalpur district of New Delhi, FabExpress P suites is 11 km from Qutub Minar. This 3-star hotel offers room service."
584,Vaccinated Staff- Collection O 48584 Dwarka Mod Metro Station,"South West, New Delhi",5.1,Review score,7 reviews,18.3 km from centre,Metro access,"Attractively set in the South West district of New Delhi, Collection O 48584 Dwarka Mod Metro Station is situated 19 km from Rashtrapati Bhavan, 19 km from Gandhi Smriti and 21 km from Gurudwara..."
585,GoldenKeys Inn,"North Delhi, New Delhi",5.2,Review score,6 reviews,7.9 km from centre,No Metro Access,"Situated within 7 km of Gurudwara Sis Ganj Sahib and 7 km of Jama Masjid, GoldenKeys Inn features rooms with air conditioning and a private bathroom in New Delhi."
586,Vaccinated Staff - OYO 78800 Cozy Stay Lajpat Nagar Part 2,"South Delhi, New Delhi",7.0,Good,3 reviews,7.8 km from centre,Metro access,OYO Home 70401 Cozy Stay Lajpat Nagar Ii features air-conditioned rooms with cable flat-screen TV in the South Delhi district of New Delhi.
587,Treebo Trend Hotel Le Grand Pahar Ganj,"Paharganj, New Delhi",8.0,Very good,22 reviews,1.4 km from centre,Metro access,"Conveniently located in the Paharganj district of New Delhi, Treebo Trend Hotel Le Grand Pahar Ganj is set 1.6 km from Gurudwara Bangla Sahib, 1.7 km from Jantar Mantar and 2.6 km from Jama Masjid."
588,Vaccinated Staff - OYO 61264 Hotel Royal Orbit,"Mahipalpur, New Delhi",,Show prices,Opens in new window,13.5 km from centre,No Metro Access,"Conveniently situated in the Mahipalpur district of New Delhi, OYO 61264 Hotel Royal Orbit is located 10 km from Qutub Minar, 13 km from Rashtrapati Bhavan and 13 km from Gandhi Smriti."
589,Vaccinated Staff- OYO 19608 Hotel Heritage Inn,"Paharganj, New Delhi",7.4,Good,3 reviews,1.5 km from centre,Metro access,Vaccinated Staff- OYO 19608 Hotel Heritage Inn features air-conditioned rooms with cable TV in the Paharganj district of New Delhi.
590,FabExpress T P Suite,"Mahipalpur, New Delhi",8.4,Very good,5 reviews,13.4 km from centre,No Metro Access,"Located within 11 km of Qutub Minar and 12 km of Rashtrapati Bhavan, FabExpress T P Suite provides rooms with air conditioning and a private bathroom in New Delhi."
591,Vaccinated Staff - OYO 66574 Mandakini Villa,"South Delhi, New Delhi",8.9,Fabulous,7 reviews,8.6 km from centre,Metro access,"Boasting a shared lounge and a terrace, OYO 66574 Mandakini Villa is situated in New Delhi, 5 km from Lodhi Gardens and 6 km from Qutub Minar."
592,OYO 79600 The Premium Villa,"South Delhi, New Delhi",,Show prices,Opens in new window,13.8 km from centre,No Metro Access,"OYO 79600 The Premium Villa is set in New Delhi, within 3.5 km of Tughlaqabad Fort and 5 km of Qutub Minar."
593,FabHotel Dilli Homestay Lajpat Nagar - Fully Vaccinated Staff,"South Delhi, New Delhi",7.9,Good,17 reviews,8.5 km from centre,Metro access,FabHotel Dilli Homestay Lajpat Nagar features air-conditioned rooms with flat-screen TV in the South Delhi district of New Delhi.
594,Mother Palace,"Paharganj, New Delhi",8.9,Fabulous,22 reviews,1.3 km from centre,No Metro Access,"Located in New Delhi, Mother Palace offers accommodation with private balconies. Featuring family rooms, this property also provides guests with a terrace."
595,FabHotel Bollywood Paradise Mahipalpur - Fully Vaccinated Staff,"Mahipalpur, New Delhi",7.1,Good,8 reviews,13.9 km from centre,Metro access,"Situated in New Delhi, within 7 km of Qutub Minar and 10 km of Gandhi Smriti, FabHotel Bollywood Paradise Mahipalpur features accommodation with a terrace and as well as free private parking for..."
596,Airport Smart Stay,"South West, New Delhi",9.5,Exceptional,38 reviews,13.4 km from centre,Metro access,"Hotel Aero at Delhi Airport is situated in New Delhi, within 7 km of Qutub Minar and 10 km of Gandhi Smriti."
597,Capital O 37878 Star Seventeen,"Dwarka, New Delhi",8.9,Fabulous,12 reviews,19.8 km from centre,No Metro Access,"Boasting a shared lounge, Capital O 37878 Star Seventeen is located in New Delhi in the Delhi NCR region, 21 km from Rashtrapati Bhavan and 21 km from Gandhi Smriti."
598,Mayda Inn- A Boutique Hotel,"Mahipalpur, New Delhi",9.1,Superb,7 reviews,13 km from centre,No Metro Access,"Set in New Delhi, within 6 km of Qutub Minar and 9 km of Gandhi Smriti, Mayda Inn- A Boutique Hotel features accommodation with a terrace and as well as free private parking for guests who drive."
599,Hotel La Vista,"Karol bagh, New Delhi",6.9,Review score,7 reviews,4.6 km from centre,No Metro Access,"Situated in New Delhi, 4.1 km from Gurudwara Bangla Sahib, Hotel La Vista features accommodation with a restaurant, free private parking, a bar and a shared lounge."
600,Hotel Delhi Darshan Deluxe,"Paharganj, New Delhi",9.1,Superb,62 reviews,1.7 km from centre,No Metro Access,"Hotel Delhi Darshan Deluxe features air-conditioned rooms with cable flat-screen TV in the Paharganj district of New Delhi. Boasting family rooms, this property also provides guests with a terrace."
601,Collection O 18927 Maya Palace Mayapuri,"West Delhi, New Delhi",6.8,Review score,6 reviews,10.6 km from centre,No Metro Access,"Conveniently set in the West Delhi district of New Delhi, Collection O 18927 Maya Palace Mayapuri is located 12 km from Rashtrapati Bhavan, 13 km from Gandhi Smriti and 14 km from Gurudwara Bangla..."
602,FabExpress T P Suite,"Mahipalpur, New Delhi",8.4,Very good,5 reviews,13.4 km from centre,No Metro Access,"Located within 11 km of Qutub Minar and 12 km of Rashtrapati Bhavan, FabExpress T P Suite provides rooms with air conditioning and a private bathroom in New Delhi."
603,Hotel Nandi M,"Paharganj, New Delhi",8.3,Very good,11 reviews,1.2 km from centre,No Metro Access,"Attractively located in the Paharganj district of New Delhi, Hotel Nandi M is situated 1.8 km from Jantar Mantar, 1.9 km from Jama Masjid and 1.9 km from Gurudwara Bangla Sahib."
604,Vaccinated Staff- OYO Townhouse 77397 Paschim Vihar,"Pashim Vihar, New Delhi",,Show prices,Opens in new window,13 km from centre,No Metro Access,"Attractively located in the Pashim Vihar district of New Delhi, OYO Townhouse 77397 Paschim Vihar is situated 12 km from Rashtrapati Bhavan, 12 km from Gurudwara Bangla Sahib and 13 km from Jantar..."
605,Vaccinated Staff- OYO 19608 Hotel Heritage Inn,"Paharganj, New Delhi",7.4,Good,3 reviews,1.5 km from centre,Metro access,Vaccinated Staff- OYO 19608 Hotel Heritage Inn features air-conditioned rooms with cable TV in the Paharganj district of New Delhi.
606,Southwest Inn - Boutique Hotel,"Dwarka, New Delhi",7.0,Good,29 reviews,18.7 km from centre,Metro access,"Located in New Delhi, 16 km from Rashtrapati Bhavan, Southwest Inn provides air-conditioned rooms and a terrace."
607,Airport Hotel Grand Lawson,"Mahipalpur, New Delhi",5.5,Review score,36 reviews,13.2 km from centre,No Metro Access,"Situated in New Delhi, 6 km from Qutub Minar, Airport Hotel Grand Lawson features accommodation with a fitness centre, free private parking, a bar and a garden."
608,Vaccinated Staff- Collection O 76604 Sector 20 Rohini,"Rohini, New Delhi",,Show prices,Opens in new window,16.9 km from centre,No Metro Access,"Offering air-conditioned rooms in the Rohini district of New Delhi, Vaccinated Staff- Collection O 76604 Sector 20 Rohini is 16 km from Gurudwara Bangla Sahib."
609,Mother Palace,"Paharganj, New Delhi",8.9,Fabulous,22 reviews,1.3 km from centre,No Metro Access,"Located in New Delhi, Mother Palace offers accommodation with private balconies. Featuring family rooms, this property also provides guests with a terrace."
610,Vaccinated Staff- OYO 37118 Hotel Cosmo,"Karol bagh, New Delhi",,Show prices,Opens in new window,4 km from centre,No Metro Access,"Ideally situated in the Karol bagh district of New Delhi, OYO 37118 Hotel Cosmo is situated 5 km from Gurudwara Bangla Sahib, 5 km from Rashtrapati Bhavan and 6 km from Jantar Mantar."
611,925 Hotels 001 Chattarpur Extension,"Chattarpur, New Delhi",5.4,Review score,7 reviews,15.7 km from centre,No Metro Access,925 Hotels 001 Chattarpur Extension features air-conditioned rooms with satellite flat-screen TV in the Chattarpur district of New Delhi.
612,Vaccinated Staff- OYO 77845 New Upkar,"South Delhi, New Delhi",,Show prices,Opens in new window,8.5 km from centre,Metro access,"Vaccinated Staff- OYO 77845 New Upkar features air-conditioned rooms with cable TV in the South Delhi district of New Delhi. This 3-star hotel offers a 24-hour front desk, room service and free WiFi."
613,Vaccinated Staff- Capital O 69653 Happy Stay,"East Delhi, New Delhi",,Show prices,Opens in new window,7.8 km from centre,Metro access,Vaccinated Staff- Capital O 69653 Happy Stay features air-conditioned rooms with cable TV in the East Delhi district of New Delhi.
614,hotel diplomat inn,"Paharganj, New Delhi",5.0,Review score,13 reviews,1.7 km from centre,No Metro Access,"Located in New Delhi, within 2.7 km of Jama Masjid and 2.8 km of Gurudwara Bangla Sahib, hotel diplomat inn provides free WiFi."
615,Hotel yes boss New Delhi,"Paharganj, New Delhi",8.8,Fabulous,5 reviews,1.1 km from centre,No Metro Access,"Offering air-conditioned rooms in the Paharganj district of New Delhi, Hotel yes boss New Delhi is 1.6 km from Jantar Mantar. This 3-star hotel offers a 24-hour front desk and room service."
616,Hotel Airport View,"South West, New Delhi",9.5,Exceptional,39 reviews,13.8 km from centre,Metro access,"Situated conveniently in the Aerocity district of New Delhi, Hotel Airport View is set 7 km from Qutub Minar, 10 km from Gandhi Smriti and 11 km from Rashtrapati Bhavan."
617,Hotel Orchid Saffron,"Janakpuri, New Delhi",5.5,Review score,48 reviews,12 km from centre,No Metro Access,"Set in New Delhi, 9 km from Rashtrapati Bhavan, Hotel Orchid Saffron offers air-conditioned rooms and a terrace."
618,Hotel Gauranga Inn,"Paharganj, New Delhi",9.1,Superb,5 reviews,1.1 km from centre,Metro access,"Located in New Delhi, 1.6 km from Jantar Mantar, Hotel Gauranga Inn features air-conditioned rooms and a terrace. This 3-star hotel offers a tour desk and ticket service."
619,Hotel Pink Saffron,"North Delhi, New Delhi",6.4,Review score,39 reviews,10.9 km from centre,No Metro Access,"Situated in New Delhi, within 10 km of Gurudwara Bangla Sahib and 11 km of Gurudwara Sis Ganj Sahib, Hotel Pink Saffron features accommodation with a restaurant and as well as free private parking for..."
620,Hotel Moody Moon,"Mahipalpur, New Delhi",6.6,Review score,26 reviews,13.4 km from centre,No Metro Access,"Located in New Delhi, 6 km from Qutub Minar, Hotel Moody Moon provides air-conditioned rooms with free WiFi. Featuring family rooms, this property also provides guests with a terrace."
621,"Hotel North Avenue ""Near Shivaji Park Metro Station""","West Delhi, New Delhi",5.4,Review score,7 reviews,10.1 km from centre,Metro access,"Hotel North Avenue ""Near Shivaji Park Metro Station"" features air-conditioned rooms with satellite flat-screen TV in the West Delhi district of New Delhi."
622,Hotel Superb,"Paharganj, New Delhi",8.1,Very good,8 reviews,1.3 km from centre,Metro access,"Set in New Delhi, 2.3 km from Jantar Mantar, Hotel Superb offers accommodation with a restaurant, free private parking, a shared lounge and a terrace."
623,Hotel swagat palace,"Karol bagh, New Delhi",,Show prices,Opens in new window,3.4 km from centre,No Metro Access,"Set within 3.2 km of Gurudwara Bangla Sahib and 3.6 km of Jantar Mantar, Hotel swagat palace offers rooms with air conditioning and a private bathroom in New Delhi."
624,OYO 72491 Ramada Inn,"South West, New Delhi",,Show prices,Opens in new window,14.1 km from centre,Metro access,"Ideally located in the South West district of New Delhi, OYO 72491 Ramada Inn is set 12 km from Rashtrapati Bhavan, 12 km from Gandhi Smriti and 13 km from Gurudwara Bangla Sahib."
625,Vaccinated Staff- Capital O 69653 Happy Stay,"East Delhi, New Delhi",,Show prices,Opens in new window,7.8 km from centre,Metro access,Vaccinated Staff- Capital O 69653 Happy Stay features air-conditioned rooms with cable TV in the East Delhi district of New Delhi.
626,hotel diplomat inn,"Paharganj, New Delhi",5.0,Review score,13 reviews,1.7 km from centre,No Metro Access,"Located in New Delhi, within 2.7 km of Jama Masjid and 2.8 km of Gurudwara Bangla Sahib, hotel diplomat inn provides free WiFi."
627,Aero Inn,"Mahipalpur, New Delhi",6.0,Review score,17 reviews,13.1 km from centre,No Metro Access,"Set in New Delhi, within 6 km of Qutub Minar and 9 km of Gandhi Smriti, Aero Inn offers accommodation with a shared lounge and as well as free private parking for guests who drive."
628,Hotel Citizen New Delhi,"Mahipalpur, New Delhi",8.9,Fabulous,32 reviews,13.9 km from centre,Metro access,"Set in New Delhi, 7 km from Qutub Minar, Hotel Citizen New Delhi offers accommodation with a restaurant, free private parking, a bar and a terrace."
629,FabExpress Airport IUM Mahipalpur,"Mahipalpur, New Delhi",9.7,Exceptional,3 reviews,13.3 km from centre,No Metro Access,"Located in New Delhi, 10 km from Qutub Minar, FabExpress Airport IUM Mahipalpur provides air-conditioned rooms and a shared lounge."
630,Vaccinated Staff- SPOT ON 40034 Delhi Inn,"South Delhi, New Delhi",,Show prices,Opens in new window,5.9 km from centre,Metro access,"Attractively located in the South Delhi district of New Delhi, SPOT ON 40034 Delhi Inn is situated 600 metres from Humayun's Tomb, 3.1 km from Pragati Maidan and 3.3 km from Swaminarayan Akshardham."
631,Hotel SPB 87,"Karol bagh, New Delhi",,Show prices,Opens in new window,4 km from centre,No Metro Access,"Well set in the Karol bagh district of New Delhi, Hotel SPB 87 is located 3.3 km from Gurudwara Bangla Sahib, 3.9 km from Jantar Mantar and 3.9 km from Rashtrapati Bhavan."
632,Hotel Pink Saffron,"North Delhi, New Delhi",6.4,Review score,39 reviews,10.9 km from centre,No Metro Access,"Situated in New Delhi, within 10 km of Gurudwara Bangla Sahib and 11 km of Gurudwara Sis Ganj Sahib, Hotel Pink Saffron features accommodation with a restaurant and as well as free private parking for..."
633,Hotel Orchid Saffron,"Janakpuri, New Delhi",5.5,Review score,48 reviews,12 km from centre,No Metro Access,"Set in New Delhi, 9 km from Rashtrapati Bhavan, Hotel Orchid Saffron offers air-conditioned rooms and a terrace."
634,Vaccinated Staff - OYO 44094 Grand Inn,"South West, New Delhi",,Show prices,Opens in new window,14.2 km from centre,Metro access,"Situated conveniently in the South West district of New Delhi, OYO 44094 Grand Inn is set 14 km from Rashtrapati Bhavan, 15 km from Gandhi Smriti and 16 km from Gurudwara Bangla Sahib."
635,Capital O 79858 Hotel Jp Tower,"West Delhi, New Delhi",5.0,Review score,3 reviews,8.9 km from centre,Metro access,"Situated within 7 km of Rashtrapati Bhavan and 8 km of Gurudwara Bangla Sahib, Capital O 79858 Hotel Jp Tower features rooms with air conditioning and a private bathroom in New Delhi."
636,Hotel Moody Moon,"Mahipalpur, New Delhi",6.6,Review score,26 reviews,13.4 km from centre,No Metro Access,"Located in New Delhi, 6 km from Qutub Minar, Hotel Moody Moon provides air-conditioned rooms with free WiFi. Featuring family rooms, this property also provides guests with a terrace."
637,Hotel Sarvasa Residency Inn,"Rohini, New Delhi",8.1,Very good,23 reviews,17 km from centre,No Metro Access,"Set in New Delhi, 16 km from Gurudwara Sis Ganj Sahib, Hotel Sarvasa Residency Inn offers accommodation with a restaurant, free private parking, a shared lounge and a terrace."
638,Hotel swagat palace,"Karol bagh, New Delhi",,Show prices,Opens in new window,3.4 km from centre,No Metro Access,"Set within 3.2 km of Gurudwara Bangla Sahib and 3.6 km of Jantar Mantar, Hotel swagat palace offers rooms with air conditioning and a private bathroom in New Delhi."
639,Shyam Rooms,"Paharganj, New Delhi",5.7,Review score,18 reviews,1.3 km from centre,No Metro Access,"Ideally set in the Paharganj district of New Delhi, Shyam Rooms is situated 1.8 km from Jantar Mantar, 1.8 km from Gurudwara Bangla Sahib and 2.2 km from Jama Masjid."
640,Southwest Inn - Boutique Hotel,"Dwarka, New Delhi",7.0,Good,29 reviews,18.7 km from centre,Metro access,"Located in New Delhi, 16 km from Rashtrapati Bhavan, Southwest Inn provides air-conditioned rooms and a terrace."
641,SPOT ON 68379 Hotel Harry's 1,"South Delhi, New Delhi",2.3,Review score,6 reviews,13.8 km from centre,No Metro Access,"Ideally located in the South Delhi district of New Delhi, SPOT ON 68379 Hotel Harry's 1 is set 6 km from Tughlaqabad Fort, 6 km from Qutub Minar and 8 km from Lotus Temple."
642,Vaccinated Staff- OYO 79945 collection O Moody moon,"East Delhi, New Delhi",,Show prices,Opens in new window,8.1 km from centre,Metro access,"OYO 79945 collection O Moody moon offers accommodation in New Delhi. Located around 5 km from Swaminarayan Akshardham, the hotel is also 5 km away from Swaminarayan Akshardham."
643,Hotel Nandi M,"Paharganj, New Delhi",8.3,Very good,11 reviews,1.2 km from centre,No Metro Access,"Attractively located in the Paharganj district of New Delhi, Hotel Nandi M is situated 1.8 km from Jantar Mantar, 1.9 km from Jama Masjid and 1.9 km from Gurudwara Bangla Sahib."
644,Hotel De Cruise - Walking Distance from New Delhi Railway Station,"Paharganj, New Delhi",,Show prices,Opens in new window,1.6 km from centre,No Metro Access,"HOTEL DE CRUISE features a restaurant, bar and terrace in New Delhi. This 3-star hotel offers a 24-hour front desk and room service. Gurudwara Bangla Sahib is 2 km away."
645,Dream Palace Hotel,"East Delhi, New Delhi",5.9,Review score,11 reviews,5.8 km from centre,No Metro Access,"Situated in New Delhi, 2.3 km from Swaminarayan Akshardham, Dream Palace Hotel provides air-conditioned accommodation and a terrace."
646,Hotel Oak Plaza - New Delhi Railway Station,"Paharganj, New Delhi",7.7,Good,6 reviews,1.6 km from centre,No Metro Access,"Set in New Delhi, within 2.1 km of Jantar Mantar and 2.1 km of Gurudwara Bangla Sahib, Hotel Oak Plaza - New Delhi Railway Station offers accommodation with a bar and as well as free private parking..."
647,OYO Flagship 77719 Gour Plaza,"South Delhi, New Delhi",2.8,Review score,4 reviews,11.7 km from centre,No Metro Access,"Well located in the South Delhi district of New Delhi, OYO Flagship 77719 Gour Plaza is located 2.1 km from Lotus Temple, 3.3 km from Tughlaqabad Fort and 7 km from Humayun's Tomb."
648,Hotel yes boss New Delhi,"Paharganj, New Delhi",8.8,Fabulous,5 reviews,1.1 km from centre,No Metro Access,"Offering air-conditioned rooms in the Paharganj district of New Delhi, Hotel yes boss New Delhi is 1.6 km from Jantar Mantar. This 3-star hotel offers a 24-hour front desk and room service."
649,Hotel Gauranga Inn,"Paharganj, New Delhi",9.1,Superb,5 reviews,1.1 km from centre,Metro access,"Located in New Delhi, 1.6 km from Jantar Mantar, Hotel Gauranga Inn features air-conditioned rooms and a terrace. This 3-star hotel offers a tour desk and ticket service."
650,Hotel Olive Saffron,"Rohini, New Delhi",6.6,Review score,5 reviews,16.4 km from centre,No Metro Access,"Situated in New Delhi, 16 km from Gurudwara Bangla Sahib, Hotel Olive Saffron offers accommodation with a restaurant. The property is set 16 km from Gurudwara Sis Ganj Sahib and 16 km from Jama..."
651,Transit Backpackers,"South West, New Delhi",8.7,Fabulous,12 reviews,15.4 km from centre,Metro access,"Located in New Delhi, 10 km from Qutub Minar, Transit Backpackers provides accommodation with free bikes, free private parking, a shared lounge and a garden."
652,The Castle Stay,"Safdarjung Enclave, New Delhi",,Show prices,Opens in new window,8.1 km from centre,Metro access,"Conveniently situated in the Safdarjung Enclave district of New Delhi, The Castle Stay is located 4 km from Lodhi Gardens, 4 km from Gandhi Smriti and 5 km from Qutub Minar."
653,HOTEL PRIMELAND,"Janakpuri, New Delhi",6.7,Review score,3 reviews,12.9 km from centre,Metro access,"Situated in New Delhi, 11 km from Rashtrapati Bhavan, HOTEL PRIMELAND offers air-conditioned accommodation and a shared lounge. Boasting family rooms, this property also provides guests with a..."
654,Hotel The Best,"Mahipalpur, New Delhi",7.4,Good,7 reviews,12.9 km from centre,No Metro Access,"Situated in New Delhi, 6 km from Qutub Minar, Hotel The Best features accommodation with a restaurant, free private parking, a bar and a shared lounge."
